trial_id,scenario,frame,sweep,parameter_value,matlab_detection_count,python_detection_count,truth_count,engine_matching_tolerance_um,matched_count,engine_f1,matlab_truth_f1,python_truth_f1,centroid_rmse_um,diameter_mae_px,diameter_signed_bias_px,diameter_p95_relative_error,diameter_reference_coverage,quality_p95_relative_error,filter_relative_l2,filter_max_absolute_error,filter_correlation
pair-s01-n5-d7-t001-baseline,pair-s01-n5-d7,1,baseline,0.0,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.1620751584139e-07,4.414449255081721e-06,4.57763671875e-05,0.9999999999902717
pair-s01-n5-d8-t001-baseline,pair-s01-n5-d8,1,baseline,0.0,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.1599797777577634e-07,4.373789395855102e-06,4.57763671875e-05,0.99999999999045
noise-s01-n20-t001-baseline,noise-s01-n20,1,baseline,0.0,0,0,0,0.25,0,1.0,1.0,1.0,,,,,1.0,,6.83455966677424e-06,3.814697265625e-05,0.9999999999766607
pair-s01-n20-d3p5-t001-baseline,pair-s01-n20-d3p5,1,baseline,0.0,1,1,2,0.25,1,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,3.2200291506440014e-06,6.103515625e-05,0.9999999999948217
pair-s01-n20-d4-t001-baseline,pair-s01-n20-d4,1,baseline,0.0,1,1,2,0.25,1,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,4.5308025478515047e-07,3.33762006251691e-06,4.57763671875e-05,0.9999999999944328
pair-s01-n20-d4p5-t001-baseline,pair-s01-n20-d4p5,1,baseline,0.0,1,1,2,0.25,1,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,2.5129845913836797e-07,3.4186223606098235e-06,4.57763671875e-05,0.9999999999941661
pair-s01-n20-d5-t001-baseline,pair-s01-n20-d5,1,baseline,0.0,1,1,2,0.25,1,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,3.583001155240573e-06,4.57763671875e-05,0.9999999999935909
pair-s01-n20-d5p5-t001-baseline,pair-s01-n20-d5p5,1,baseline,0.0,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.907374417492233e-07,3.635544933962571e-06,3.0517578125e-05,0.9999999999934012
pair-s01-n20-d6-t001-baseline,pair-s01-n20-d6,1,baseline,0.0,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0060370717148683e-07,3.73176319101531e-06,4.57763671875e-05,0.9999999999930373
pair-s01-n20-d7-t001-baseline,pair-s01-n20-d7,1,baseline,0.0,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.079323702721441e-07,3.7456966410889054e-06,3.814697265625e-05,0.9999999999929859
pair-s01-n20-d8-t001-baseline,pair-s01-n20-d8,1,baseline,0.0,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.087057624642389e-07,3.7107120495129376e-06,6.103515625e-05,0.9999999999931213
noise-s02-n0-t001-baseline,noise-s02-n0,1,baseline,0.0,0,0,0,0.25,0,1.0,1.0,1.0,,,,,1.0,,1.0,3.814697265625e-05,
pair-s02-n0-d3p5-t001-baseline,pair-s02-n0-d3p5,1,baseline,0.0,1,1,2,0.25,1,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,2.033662813824677e-07,6.275120148561743e-06,6.103515625e-05,0.999999999993211
pair-s02-n0-d4-t001-baseline,pair-s02-n0-d4,1,baseline,0.0,1,1,2,0.25,1,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,2.2424375475536912e-07,6.549716888183862e-06,4.57763671875e-05,0.9999999999926306
pair-s02-n0-d4p5-t001-baseline,pair-s02-n0-d4p5,1,baseline,0.0,1,1,2,0.25,1,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,7.533164757846419e-07,6.806475576911521e-06,4.57763671875e-05,0.9999999999918141
pair-s02-n0-d5-t001-baseline,pair-s02-n0-d5,1,baseline,0.0,1,1,2,0.25,1,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,5.658632257655635e-07,7.094646722200382e-06,4.57763671875e-05,0.999999999991218
pair-s02-n0-d5p5-t001-baseline,pair-s02-n0-d5p5,1,baseline,0.0,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.096592224195388e-07,7.298666063988867e-06,4.57763671875e-05,0.9999999999904853
pair-s02-n0-d6-t001-baseline,pair-s02-n0-d6,1,baseline,0.0,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0314401829841115e-07,7.473270084839344e-06,4.57763671875e-05,0.9999999999901761
pair-s02-n0-d7-t001-baseline,pair-s02-n0-d7,1,baseline,0.0,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.242335602119999e-07,7.641466581326946e-06,4.57763671875e-05,0.9999999999893875
pair-s02-n0-d8-t001-baseline,pair-s02-n0-d8,1,baseline,0.0,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.9743380375881183e-07,7.603268293114204e-06,4.57763671875e-05,0.9999999999894383
noise-s02-n5-t001-baseline,noise-s02-n5,1,baseline,0.0,0,0,0,0.25,0,1.0,1.0,1.0,,,,,1.0,,2.7788944795913802e-05,3.0517578125e-05,0.9999999996141874
pair-s02-n5-d3p5-t001-baseline,pair-s02-n5-d3p5,1,baseline,0.0,1,1,2,0.25,1,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,4.074849276418827e-07,3.578489562320071e-06,4.57763671875e-05,0.9999999999936005
pair-s02-n5-d4-t001-baseline,pair-s02-n5-d4,1,baseline,0.0,1,1,2,0.25,1,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,6.734399762949129e-07,3.756599174208674e-06,4.57763671875e-05,0.9999999999929665
pair-s02-n5-d4p5-t001-baseline,pair-s02-n5-d4p5,1,baseline,0.0,1,1,2,0.25,1,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,3.876925328908379e-06,3.0517578125e-05,0.9999999999924952
pair-s02-n5-d5-t001-baseline,pair-s02-n5-d5,1,baseline,0.0,1,1,2,0.25,1,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,4.061186688714335e-06,4.57763671875e-05,0.9999999999917587
pair-s02-n5-d5p5-t001-baseline,pair-s02-n5-d5p5,1,baseline,0.0,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.190962962986449e-06,4.57763671875e-05,0.9999999999912264
pair-s02-n5-d6-t001-baseline,pair-s02-n5-d6,1,baseline,0.0,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.2026562161965743e-07,4.247565184315401e-06,4.57763671875e-05,0.999999999990994
pair-s02-n5-d7-t001-baseline,pair-s02-n5-d7,1,baseline,0.0,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.27696974517558e-07,4.368555944536022e-06,4.57763671875e-05,0.9999999999904693
pair-s02-n5-d8-t001-baseline,pair-s02-n5-d8,1,baseline,0.0,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.13140725729747e-07,4.374599534948016e-06,3.814697265625e-05,0.9999999999904392
noise-s02-n20-t001-baseline,noise-s02-n20,1,baseline,0.0,0,0,0,0.25,0,1.0,1.0,1.0,,,,,1.0,,6.861810779862487e-06,3.814697265625e-05,0.9999999999764639
pair-s02-n20-d3p5-t001-baseline,pair-s02-n20-d3p5,1,baseline,0.0,1,1,2,0.25,1,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,4.038022830577282e-07,3.2110142129801727e-06,4.57763671875e-05,0.999999999994849
pair-s02-n20-d4-t001-baseline,pair-s02-n20-d4,1,baseline,0.0,1,1,2,0.25,1,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,3.3201252238531815e-06,4.57763671875e-05,0.9999999999945007
pair-s02-n20-d4p5-t001-baseline,pair-s02-n20-d4p5,1,baseline,0.0,1,1,2,0.25,1,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,4.793536395524275e-07,3.4115129410726895e-06,4.57763671875e-05,0.9999999999941902
pair-s02-n20-d5-t001-baseline,pair-s02-n20-d5,1,baseline,0.0,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.678637651339173e-07,3.5218634460821413e-06,4.57763671875e-05,0.999999999993802
pair-s02-n20-d5p5-t001-baseline,pair-s02-n20-d5p5,1,baseline,0.0,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,8.697180648681506e-07,3.600546556571875e-06,4.57763671875e-05,0.9999999999935258
pair-s02-n20-d6-t001-baseline,pair-s02-n20-d6,1,baseline,0.0,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.94993494617145e-07,3.677796316785611e-06,4.57763671875e-05,0.9999999999932453
pair-s02-n20-d7-t001-baseline,pair-s02-n20-d7,1,baseline,0.0,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0723615529202956e-07,3.7282959303908356e-06,4.57763671875e-05,0.9999999999930553
pair-s02-n20-d8-t001-baseline,pair-s02-n20-d8,1,baseline,0.0,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.7620273144776236e-06,3.814697265625e-05,0.9999999999929418
