trial_id,scenario,frame,sweep,parameter_value,matlab_detection_count,python_detection_count,truth_count,engine_matching_tolerance_um,matched_count,engine_f1,matlab_truth_f1,python_truth_f1,centroid_rmse_um,diameter_mae_px,diameter_signed_bias_px,diameter_p95_relative_error,diameter_reference_coverage,quality_p95_relative_error,filter_relative_l2,filter_max_absolute_error,filter_correlation
close_pair-t001-boundary_percent-03,close_pair,1,boundary_percent,0.5,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.097681133019719e-07,2.576934113831589e-06,6.103515625e-05,0.9999999999966841
close_pair-t001-boundary_percent-04,close_pair,1,boundary_percent,0.7,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.097681133019719e-07,2.576934113831589e-06,6.103515625e-05,0.9999999999966841
close_pair-t001-boundary_percent-05,close_pair,1,boundary_percent,0.85,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.097681133019719e-07,2.576934113831589e-06,6.103515625e-05,0.9999999999966841
unequal_pair-t001-baseline,unequal_pair,1,baseline,0.0,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.486736768910972e-07,2.9579166605975385e-06,6.103515625e-05,0.9999999999956272
unequal_pair-t001-sigma-00,unequal_pair,1,sigma,0.6,1,1,2,0.25,1,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,1.588071676027026e-06,7.950032034579664e-06,6.103515625e-05,0.9999999999684048
unequal_pair-t001-sigma-01,unequal_pair,1,sigma,0.8,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,9.925171282043203e-07,2.7028870276837094e-06,7.62939453125e-05,0.9999999999963521
unequal_pair-t001-sigma-03,unequal_pair,1,sigma,1.2,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.625813794975353e-07,2.2725139968058945e-06,4.57763671875e-05,0.9999999999974181
unequal_pair-t001-sigma-04,unequal_pair,1,sigma,1.4,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.241640375451562e-07,2.1020017888606766e-06,4.57763671875e-05,0.9999999999977941
unequal_pair-t001-intensitythreshold-00,unequal_pair,1,intensitythreshold,4.5,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.486736768910972e-07,2.9579166605975385e-06,6.103515625e-05,0.9999999999956272
unequal_pair-t001-intensitythreshold-01,unequal_pair,1,intensitythreshold,9.0,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.486736768910972e-07,2.9579166605975385e-06,6.103515625e-05,0.9999999999956272
